country,"Food product","Production Kg","World Emissions per kg","Total emissiones per country vs product"
Albania,Cane,867129471360,2.6,2254536625536
Hungary,Rice,158592706820,4,634370827280
Poland,Wheat,236931598860,1.4,331704238404
Greece,Cane,127021794910,2.6,330256666766
Italy,Cane,123134864550,2.6,320150647830
Albania,Soybean,41793471410,6,250760828460
Switzerland,Cane,92598134630,2.6,240755150038
Bulgaria,Cane,64821603270,2.6,168536168502
Romania,Cane,60571600300,2.6,157486160780
Czechia,Wheat,112047500360,1.4,156866500504
Estonia,Cane,57408433500,2.6,149261927100
Italy,Poultry,23506276090,6.1,143388284149
Hungary,Cane,48006991360,2.6,124818177536
Latvia,Wheat,86327611000,1.4,120858655399.99998
Greece,Wheat,80257619640,1.4,112360667496
Croatia,Wheat,70768008270,1.4,99075211578
Portugal,Cane,37980756850,2.6,98749967810
Ukraine,Potatoes,299264079090,0.3,89779223727
Slovakia,Rice,20923226450,4,83692905800
Switzerland,Rice,19406042060,4,77624168240
"Bosnia and Herzegovina",Soybean,12599729360,6,75598376160
Portugal,Rice,18628704730,4,74514818920
Romania,Soybean,12328057450,6,73968344700
France,Palm,9730911230,7.6,73954925348
Spain,Rice,17691390280,4,70765561120
"North Macedonia",Rice,17532493640,4,70129974560
Latvia,Cane,24962066000,2.6,64901371600
Serbia,Cane,23973416080,2.6,62330881808
Montenegro,Rice,15346640690,4,61386562760
Latvia,Sunflower,16918435250,3.5,59214523375
France,Poultry,9675277910,6.1,59019195251
Poland,Cassava,65124049910,0.9,58611644919
Switzerland,Wheat,39443893420,1.4,55221450788
Bulgaria,Poultry,8558403050.000001,6.1,52206258605
Slovenia,Wheat,37206126240,1.4,52088576736
Hungary,Palm,6680198400,7.6,50769507840
Denmark,Wheat,35291603550,1.4,49408244970
France,Wheat,35124344730,1.4,49174082622
Montenegro,Cane,18311704620,2.6,47610432012
Denmark,Soybean,7197986770,6,43187920620
Belgium,Rice,10456448140,4,41825792560
Spain,Cane,15790326560,2.6,41054849056
Austria,Soybean,6836637820,6,41019826920
Romania,Wheat,29111892000,1.4,40756648800
Switzerland,Soybean,6755666420,6,40533998520
Lithuania,Tomatoes,27242871000,1.4,38140019400
Germany,Potatoes,124594020690,0.3,37378206207
Luxembourg,Rice,8983269950,4,35933079800
Croatia,Soybean,5785663000,6,34713978000
Slovakia,Wheat,24200356700,1.4,33880499379.999996
Sweden,Soybean,5554238750,6,33325432500
Belarus,Rice,7697821270,4,30791285080
Estonia,Tomatoes,19870864500,1.4,27819210300
Estonia,Potatoes,86647925500,0.3,25994377650
Luxembourg,Wheat,18382201910,1.4,25735082674
"Bosnia and Herzegovina",Rice,5862398730,4,23449594920
Malta,Sunflower,6640016650,3.5,23240058275
Romania,Poultry,3752081210,6.1,22887695381
Montenegro,Tomatoes,16323429560,1.4,22852801384
Slovenia,Rice,5605342230,4,22421368920
Malta,Berries,19827425000,1.1,21810167500
Ukraine,Coffee,1297982590,16.5,21416712735
Ukraine,Maize,18441280910,1.1,20285409001
Serbia,Soybean,3236048640,6,19416291840
Latvia,Berries,16328180000,1.1,17960998000
Romania,Palm,2141661250,7.6,16276625500
France,Maize,14676819050,1.1,16144500955.000002
Estonia,Coffee,936096780,16.5,15445596870
Lithuania,Wheat,10788001680,1.4,15103202351.999998
Lithuania,Bananas,18475099910,0.8,14780079928
France,Cane,5550623180,2.6,14431620268
Estonia,Poultry,2282322250,6.1,13922165725
Lithuania,Palm,1807363900,7.6,13735965640
"Bosnia and Herzegovina",Cane,5197441000,2.6,13513346600
Lithuania,Cane,4906191500,2.6,12756097900
Slovakia,Sunflower,3310193760,3.5,11585678160
Romania,Maize,10486302820,1.1,11534933102
Italy,Soybean,1806346890,6,10838081340
Poland,Berries,9585667930,1.1,10544234723
Italy,Sunflower,2999138640,3.5,10496985240
Slovakia,Cane,4006862030,2.6,10417841278
Slovakia,Soybean,1727387550,6,10364325300
Finland,Potatoes,34166768000,0.3,10250030400
"Bosnia and Herzegovina",Wheat,7293810260,1.4,10211334364
Slovenia,Cane,3839217610,2.6,9981965786
Greece,Poultry,1583781080,6.1,9661064588
Italy,Maize,8507013590,1.1,9357714949
Slovenia,Sunflower,2643056150,3.5,9250696525
Poland,Cane,3374986110,2.6,8774963886
Montenegro,Apples,28121785750,0.3,8436535725
Estonia,Soybean,1375522050,6,8253132300
"Bosnia and Herzegovina",Berries,7423006950,1.1,8165307645.000001
Switzerland,Coffee,492379160,16.5,8124256140
Hungary,Maize,7203400090,1.1,7923740099.000001
Serbia,Maize,6160645590,1.1,6776710149.000001
Slovakia,Tomatoes,4729631270,1.4,6621483778
Croatia,Rice,1635571150,4,6542284600
Germany,Rice,1630527090,4,6522108360
Malta,Wheat,4504884250,1.4,6306837950
Lithuania,Poultry,1018967180,6.1,6215699798
Spain,Coffee,350632190,16.5,5785431135
Croatia,Palm,759395730,7.6,5771407548
Germany,Sunflower,1627832320,3.5,5697413120
Sweden,Rice,1416437250,4,5665749000
Hungary,Tomatoes,4044064200,1.4,5661689880
Ukraine,Tomatoes,4040203420,1.4,5656284788
Spain,Bananas,7039634310,0.8,5631707448
Serbia,Wheat,3970038360,1.4,5558053704
Denmark,Potatoes,18356209110,0.3,5506862733
Ukraine,Cane,2116702759.9999998,2.6,5503427176
Slovakia,Poultry,881417050,6.1,5376644005
"Bosnia and Herzegovina",Sunflower,1506528140,3.5,5272848490
Spain,Wheat,3728062440,1.4,5219287416
Switzerland,Palm,677499810,7.6,5148998556
Slovenia,Tomatoes,3653208000,1.4,5114491200
Bulgaria,Bananas,6053692860,0.8,4842954288
Slovakia,Potatoes,16124703180,0.3,4837410954
Luxembourg,Bananas,5933067270,0.8,4746453816
Germany,Maize,4154681320,1.1,4570149452
Spain,Maize,4152612820,1.1,4567874102
Germany,Berries,4118473590,1.1,4530320949
Belgium,Bananas,5468410180,0.8,4374728144
Ukraine,Wheat,2986661820,1.4,4181326547.9999995
Belgium,Sunflower,1188598450,3.5,4160094575
Greece,Rice,963640910,4,3854563640
"North Macedonia",Coffee,225430930,16.5,3719610345
Latvia,Palm,487167250,7.6,3702471100
Greece,Palm,479584350,7.6,3644841060
Luxembourg,Sunflower,1014226880,3.5,3549794080
Czechia,Palm,465714000,7.6,3539426400
Montenegro,Poultry,580026770,6.1,3538163297
Italy,Potatoes,11756323170,0.3,3526896951
Sweden,Sunflower,988458400,3.5,3459604400
Malta,Poultry,563362500,6.1,3436511250
"North Macedonia",Cane,1312771680,2.6,3413206368
Sweden,Coffee,205030650,16.5,3383005725
Poland,Maize,3038115320,1.1,3341926852.0000005
Albania,Peas,4009518280,0.8,3207614624
Netherlands,Potatoes,10642461450,0.3,3192738435
Spain,Sunflower,886279390,3.5,3101977865
Belarus,Bananas,3800761030,0.8,3040608824
France,Potatoes,10025559230,0.3,3007667769
Netherlands,Soybean,491502080,6,2949012480
Denmark,Coffee,178068950,16.5,2938137675
Poland,Palm,371619570,7.6,2824308732
Slovakia,Palm,371021200,7.6,2819761120
Finland,Coffee,170633440,16.5,2815451760
Slovenia,Potatoes,9373451910,0.3,2812035573
Austria,Cane,1047138550,2.6,2722560230
Luxembourg,Berries,2339622730,1.1,2573585003
Sweden,Cane,962486950,2.6,2502466070
Luxembourg,Palm,325920720,7.6,2476997472
Denmark,Rice,607238400,4,2428953600
Latvia,Potatoes,8076176750,0.3,2422853025
Denmark,Sunflower,687239470,3.5,2405338145
Bulgaria,Maize,2110071900,1.1,2321079090
Portugal,Soybean,381888280,6,2291329680
Austria,Maize,2068804100,1.1,2275684510
Greece,Maize,2018665880,1.1,2220532468
Netherlands,Berries,2007045290,1.1,2207749819
Greece,Berries,1945967410,1.1,2140564151.0000002
Romania,Rice,528832949.99999994,4,2115331799.9999998
Finland,Wheat,1501633000,1.4,2102286199.9999998
Croatia,Maize,1904827090,1.1,2095309799.0000002
Montenegro,Wheat,1496615120,1.4,2095261167.9999998
Netherlands,Cassava,2269593590,0.9,2042634231
"North Macedonia",Soybean,338991410,6,2033948460
Poland,Rice,476590730,4,1906362920
Switzerland,Berries,1703823740,1.1,1874206114.0000002
Serbia,Rice,462933620,4,1851734480
Czechia,Berries,1654092730,1.1,1819502003.0000002
Hungary,Coffee,110133950,16.5,1817210175
France,Coffee,109660720,16.5,1809401880
Switzerland,Potatoes,5985663000,0.3,1795698900
Portugal,Tomatoes,1268893700,1.4,1776451180
Finland,Cane,641700000,2.6,1668420000
Belarus,Sunflower,459579000,3.5,1608526500
Lithuania,Sunflower,457414780,3.5,1600951730
Switzerland,Sunflower,455556560,3.5,1594447960
Serbia,Poultry,260985030,6.1,1592008683
Serbia,Berries,1422944700,1.1,1565239170.0000002
Romania,Berries,1422543330,1.1,1564797663.0000002
Serbia,Coffee,93085470,16.5,1535910255
Netherlands,Coffee,91951190,16.5,1517194635
Spain,Berries,1368251660,1.1,1505076826.0000002
Spain,Palm,196704060,7.6,1494950856
Poland,Tomatoes,1050780179.9999999,1.4,1471092251.9999998
Spain,Soybean,237980860,6,1427885160
"Bosnia and Herzegovina",Coffee,83952820,16.5,1385221530
Italy,Rice,345977320,4,1383909280
Portugal,Apples,4527690550,0.3,1358307165
Poland,Coffee,81376050,16.5,1342704825
"Bosnia and Herzegovina",Tomatoes,956698770,1.4,1339378278
Austria,Palm,176164910,7.6,1338853316
Belgium,Palm,174995910,7.6,1329968916
France,Soybean,221503450,6,1329020700
Sweden,Apples,4308445200,0.3,1292533560
Portugal,Wheat,910170680,1.4,1274238952
Slovenia,Palm,165306110,7.6,1256326436
Finland,Bananas,1565250000,0.8,1252200000
Sweden,Berries,1136886000,1.1,1250574600
Bulgaria,Coffee,75700000,16.5,1249050000
Bulgaria,Potatoes,4122193530,0.3,1236658059
Belgium,Cane,471026170,2.6,1224668042
Montenegro,Bananas,1527622000,0.8,1222097600
Slovakia,Maize,1109350410,1.1,1220285451
Albania,Tomatoes,865398570,1.4,1211557998
Latvia,Apples,3874261850,0.3,1162278555
Belarus,Berries,1017700910,1.1,1119471001
Poland,Sunflower,311005920,3.5,1088520720
Switzerland,Cassava,1206291620,0.9,1085662458
France,Bananas,1346992250,0.8,1077593800
Switzerland,Peas,1334467780,0.8,1067574224
Hungary,Wheat,744943730,1.4,1042921221.9999999
Montenegro,Soybean,173254030,6,1039524180
"North Macedonia",Sunflower,287678530,3.5,1006874855
Albania,Cassava,1116214550,0.9,1004593095
Poland,Poultry,163699050,6.1,998564205
"Bosnia and Herzegovina",Maize,888084050,1.1,976892455.0000001
Belarus,Cane,367045450,2.6,954318170
Malta,Coffee,57662750,16.5,951435375
Spain,Potatoes,3155000000,0.3,946500000
Ireland,Palm,122000000,7.6,927200000
Slovakia,Peas,1142284210,0.8,913827368
Malta,Soybean,151500000,6,909000000
Czechia,Cassava,1005446220,0.9,904901598
"North Macedonia",Wheat,644971180,1.4,902959652
Denmark,Palm,117008090,7.6,889261484
"Bosnia and Herzegovina",Peas,1090977270,0.8,872781816
Lithuania,Coffee,52173500,16.5,860862750
Croatia,Cane,330192060,2.6,858499356
Netherlands,Palm,112459740,7.6,854694024
"North Macedonia",Palm,111508740,7.6,847466424
Estonia,Wheat,602000000,1.4,842800000
Switzerland,Bananas,1052536090.0000001,0.8,842028872.0000001
Italy,Palm,110649200,7.6,840933920
Portugal,Maize,750151860,1.1,825167046.0000001
Latvia,Poultry,134139010.00000001,6.1,818247961
Croatia,Sunflower,232161780,3.5,812566230
Slovenia,Peas,993587570,0.8,794870056
Slovakia,Cassava,870458420,0.9,783412578
Slovenia,Cassava,867722310,0.9,780950079
Malta,Rice,195091500,4,780366000
Slovakia,Berries,708257500,1.1,779083250.0000001
Croatia,Berries,706891360,1.1,777580496.0000001
Serbia,Tomatoes,553286860,1.4,774601604
Czechia,Maize,689296380,1.1,758226018.0000001
Spain,Apples,2379569680,0.3,713870904
Romania,Coffee,42804560,16.5,706275240
Italy,Tomatoes,501101760,1.4,701542464
Belgium,Maize,605323230,1.1,665855553
Slovakia,Coffee,40039440,16.5,660650760
Belgium,Soybean,107584680,6,645508080
Belgium,Coffee,38796420,16.5,640140930
Austria,Wheat,451853860,1.4,632595404
Belarus,Maize,568767270,1.1,625643997
Portugal,Poultry,99111340,6.1,604579174
Austria,Poultry,96785590,6.1,590392099
Netherlands,Peas,726547630,0.8,581238104
Latvia,Soybean,96614250,6,579685500
Belarus,Coffee,34262000,16.5,565323000
Slovenia,Berries,511589590,1.1,562748549
Netherlands,Rice,140290950,4,561163800
"Bosnia and Herzegovina",Apples,1816088820,0.3,544826646
Denmark,Peas,674017500,0.8,539214000
Malta,Potatoes,1793695300,0.3,538108590
Czechia,Coffee,32507740,16.5,536377710
Czechia,Poultry,87193860,6.1,531882545.99999994
Slovenia,Coffee,30882930,16.5,509568345
Ukraine,Poultry,82767550,6.1,504882055
Lithuania,Peas,629861270,0.8,503889016
Serbia,Palm,66218820.00000001,7.6,503263032.00000006
Denmark,Apples,1669692680,0.3,500907804
Belgium,Berries,441226180,1.1,485348798.00000006
Portugal,Coffee,29349860,16.5,484272690
Romania,Cassava,530616160.00000006,0.9,477554544.00000006
Greece,Potatoes,1578865710,0.3,473659713
Bulgaria,Sunflower,131902040.00000001,3.5,461657140.00000006
"Bosnia and Herzegovina",Palm,59980840,7.6,455854384
Ireland,Cane,174450000,2.6,453570000
Ireland,Berries,409407000,1.1,450347700.00000006
Estonia,Rice,101516250,4,406065000
Serbia,Potatoes,1351018580,0.3,405305574
Estonia,Sunflower,114878500,3.5,402074750
Lithuania,Cassava,440315180,0.9,396283662
Finland,Sunflower,112343000,3.5,393200500
Albania,Wheat,275413180,1.4,385578452
Belarus,Cassava,426191950,0.9,383572755
Belgium,Wheat,269815330,1.4,377741462
Albania,Palm,48954550,7.6,372054580
"North Macedonia",Apples,1205613820,0.3,361684146
Belarus,Palm,46613730,7.6,354264348
Slovenia,Maize,320569770,1.1,352626747
Greece,Peas,435429550,0.8,348343640
Denmark,Poultry,57078410,6.1,348178301
Belgium,Tomatoes,248585470,1.4,348019658
Montenegro,Palm,45678000,7.6,347152800
Albania,Maize,308651080,1.1,339516188
Finland,Poultry,55300000,6.1,337330000
Slovenia,Soybean,56125930,6,336755580
Portugal,Sunflower,95693590,3.5,334927565
Serbia,Peas,414895390,0.8,331916312
Malta,Palm,43040030,7.6,327104228
Poland,Peas,401067950,0.8,320854360
Ireland,Bananas,392466250,0.8,313973000
Finland,Palm,40100000,7.6,304760000
France,Berries,273028950,1.1,300331845
Ireland,Rice,74957750,4,299831000
Italy,Bananas,373289760,0.8,298631808
Portugal,Palm,38516780,7.6,292727528
Ireland,Apples,959262000,0.3,287778600
"North Macedonia",Poultry,46411550,6.1,283110455
Slovakia,Apples,894001380,0.3,268200414
Belarus,Tomatoes,189711360,1.4,265595903.99999997
Latvia,Rice,66250000,4,265000000
Denmark,Bananas,321049000,0.8,256839200
Ukraine,Palm,33421530,7.6,254003628
Netherlands,Apples,804494960,0.3,241348488
Lithuania,Apples,797844140,0.3,239353242
Belarus,Wheat,169374200,1.4,237123879.99999997
Hungary,Apples,785361270,0.3,235608381
Germany,Palm,30962380,7.6,235314088
Switzerland,Apples,777390060,0.3,233217018
Croatia,Peas,285030770,0.8,228024616
Belarus,Soybean,37864180,6,227185080
Switzerland,Tomatoes,161832820,1.4,226565948
Albania,Bananas,281136360,0.8,224909088
"North Macedonia",Berries,203252320,1.1,223577552.00000003
Estonia,Palm,29210500,7.6,221999800
Czechia,Rice,55270140,4,221080560
Sweden,Peas,271429750,0.8,217143800
Denmark,Tomatoes,155035720,1.4,217050008
Czechia,Cane,83182510,2.6,216274526
Estonia,Cassava,236042900,0.9,212438610
"North Macedonia",Tomatoes,151088410,1.4,211523774
Malta,Apples,686467500,0.3,205940250
Netherlands,Maize,183253770,1.1,201579147.00000003
Estonia,Peas,249558490,0.8,199646792
Germany,Wheat,141802950,1.4,198524130
Sweden,Tomatoes,137328500,1.4,192259900
Netherlands,Cane,71132510,2.6,184944526
Portugal,Bananas,229784550,0.8,183827640
Finland,Rice,45604500,4,182418000
Switzerland,Maize,164999270,1.1,181499197
Lithuania,Rice,45169410,4,180677640
Albania,Berries,160889320,1.1,176978252
Slovenia,Apples,585440010,0.3,175632003
Luxembourg,Cassava,194240790,0.9,174816711
Netherlands,Sunflower,49459110,3.5,173106885
Serbia,Apples,568828730,0.3,170648619
Netherlands,Wheat,120269090,1.4,168376726
Denmark,Berries,144862230,1.1,159348453
Poland,Bananas,196799140,0.8,157439312
Ukraine,Peas,195646450,0.8,156517160
"North Macedonia",Maize,138833050,1.1,152716355
Albania,Coffee,9115470,16.5,150405255
Ukraine,Rice,36800650,4,147202600
Montenegro,Sunflower,41035720,3.5,143625020
Spain,Tomatoes,101453280,1.4,142034592
Czechia,Sunflower,39707000,3.5,138974500
Sweden,Palm,18006950,7.6,136852820
Ukraine,Cassava,139463040,0.9,125516736
Romania,Sunflower,35848970,3.5,125471395
"Bosnia and Herzegovina",Poultry,20298910,6.1,123823351
Hungary,Peas,154151790,0.8,123321432
Spain,Cassava,134444190,0.9,120999771
Romania,Tomatoes,85447860,1.4,119627003.99999999
Belarus,Apples,378459640,0.3,113537892
Romania,Peas,139578760,0.8,111663008
Greece,Apples,355777270,0.3,106733181
Bulgaria,Rice,26445990,4,105783960
Germany,Cassava,115293500,0.9,103764150
Luxembourg,Cane,37840360,2.6,98384936
Lithuania,Berries,87217910,1.1,95939701.00000001
Croatia,Bananas,119642240,0.8,95713792
France,Tomatoes,67598820,1.4,94638348
Netherlands,Tomatoes,65564330,1.4,91790062
Hungary,Berries,83375590,1.1,91713149
Bulgaria,Tomatoes,62657700,1.4,87720780
Austria,Apples,288728910,0.3,86618673
Portugal,Peas,105727250,0.8,84581800
Hungary,Bananas,105278470,0.8,84222776
Germany,Cane,31545450,2.6,82018170
Sweden,Cassava,87249100,0.9,78524190
Luxembourg,Apples,260718000,0.3,78215400
Denmark,Cassava,86618450,0.9,77956605
Sweden,Bananas,96969480,0.8,77575584
Montenegro,Potatoes,253193120,0.3,75957936
Croatia,Coffee,4567690,16.5,75366885
Latvia,Peas,93089000,0.8,74471200
Poland,Soybean,12375430,6,74252580
Albania,Poultry,12140840,6.1,74059124
Germany,Soybean,11768550,6,70611300
Lithuania,Soybean,11570590,6,69423540
Serbia,Cassava,76900610,0.9,69210549
Portugal,Berries,62881840,1.1,69170024
Italy,Peas,84665230,0.8,67732184
Belgium,Poultry,11102410,6.1,67724701
Croatia,Cassava,70678180,0.9,63610362
Albania,Potatoes,208750050,0.3,62625015
Portugal,Cassava,66846289.99999999,0.9,60161660.99999999
Malta,Cassava,66828750,0.9,60145875
Lithuania,Maize,54459020,1.1,59904922.00000001
Switzerland,Poultry,9719630,6.1,59289743
Spain,Peas,71420890,0.8,57136712
Bulgaria,Berries,51875970,1.1,57063567.00000001
Serbia,Sunflower,15487500,3.5,54206250
Germany,Poultry,8823860,6.1,53825546
Spain,Poultry,8393280,6.1,51199008
Finland,Soybean,8515000,6,51090000
Poland,Apples,166823060,0.3,50046918
Greece,Coffee,3015910,16.5,49762515
Romania,Apples,165661810,0.3,49698543
Montenegro,Coffee,2887340,16.5,47641110
Ukraine,Berries,41515220,1.1,45666742
Ukraine,Sunflower,13001580,3.5,45505530
Finland,Berries,41312000,1.1,45443200
Belgium,Apples,144029230,0.3,43208769
Luxembourg,Coffee,2565720,16.5,42334380
Hungary,Sunflower,11706180,3.5,40971630
France,Sunflower,11034450,3.5,38620575
Bulgaria,Cassava,42122460,0.9,37910214
Luxembourg,Peas,47121370,0.8,37697096
Ireland,Sunflower,10726080,3.5,37541280
Austria,Sunflower,10703140,3.5,37460990
Germany,Peas,45573820,0.8,36459056
Ireland,Peas,43474500,0.8,34779600
Romania,Potatoes,113273820,0.3,33982146
Luxembourg,Tomatoes,24035970,1.4,33650358
Croatia,Tomatoes,23992040,1.4,33588856
Montenegro,Berries,28962500,1.1,31858750.000000004
Denmark,Maize,28200450,1.1,31020495.000000004
Luxembourg,Soybean,4505950,6,27035700
France,Cassava,29908930,0.9,26918037
"North Macedonia",Bananas,33139949.999999996,0.8,26511960
Belarus,Peas,32630770,0.8,26104616
"North Macedonia",Cassava,28069910,0.9,25262919
Sweden,Wheat,16161200,1.4,22625680
Austria,Rice,5600680,4,22402720
Belgium,Peas,27315060,0.8,21852048
Italy,Berries,19809590,1.1,21790549
Bulgaria,Palm,2657950,7.6,20200420
Greece,Sunflower,5614270,3.5,19649945
Greece,Cassava,21282030,0.9,19153827
France,Rice,4672090,4,18688360
Malta,Bananas,23066000,0.8,18452800
Belarus,Poultry,3005180,6.1,18331598
Albania,Apples,59566540,0.3,17869962
Netherlands,Poultry,2701050,6.1,16476404.999999998
Ireland,Poultry,2531250,6.1,15440625
Bulgaria,Soybean,2497470,6,14984820
Slovenia,Poultry,2332730,6.1,14229653
Netherlands,Bananas,17558080,0.8,14046464
Slovenia,Bananas,15182590,0.8,12146072
Sweden,Maize,10825000,1.1,11907500.000000002
Lithuania,Potatoes,39164760,0.3,11749428
Italy,Cassava,13034630,0.9,11731167
Estonia,Apples,36550000,0.3,10965000
Germany,Apples,36344730,0.3,10903419
Hungary,Poultry,1771730,6.1,10807553
Austria,Tomatoes,7423140,1.4,10392396
Czechia,Potatoes,34039490,0.3,10211847
Czechia,Soybean,1694740,6,10168440
Estonia,Bananas,11500000,0.8,9200000
Denmark,Cane,3499180,2.6,9097868
Italy,Apples,29843230,0.3,8952969
Ukraine,Soybean,1481820,6,8890920
Austria,Berries,8045450,1.1,8849995
Malta,Peas,11057200,0.8,8845760
Germany,Coffee,527820,16.5,8709030
Finland,Cassava,9435500,0.9,8491950
France,Peas,10582280,0.8,8465824
Montenegro,Cassava,9130380,0.9,8217342
Ukraine,Apples,26949310,0.3,8084793
Hungary,Soybean,1337680,6,8026080
Ireland,Tomatoes,5435000,1.4,7608999.999999999
"North Macedonia",Peas,9499170,0.8,7599336
Croatia,Apples,24364790,0.3,7309437
Serbia,Bananas,8731310,0.8,6985048
Albania,Sunflower,1956860,3.5,6849010
"North Macedonia",Potatoes,20670590,0.3,6201177
Ukraine,Bananas,7538200,0.8,6030560
Czechia,Bananas,6230870,0.8,4984696
Italy,Wheat,3550550,1.4,4970770
Slovakia,Bananas,5892730,0.8,4714184
Bulgaria,Wheat,3328730,1.4,4660222
"Bosnia and Herzegovina",Bananas,5546210,0.8,4436968
"Bosnia and Herzegovina",Cassava,4910270,0.9,4419243
"Bosnia and Herzegovina",Potatoes,14727240,0.3,4418172
Bulgaria,Peas,5134460,0.8,4107568
Malta,Tomatoes,2699000,1.4,3778599.9999999995
Czechia,Peas,4283000,0.8,3426400
Greece,Tomatoes,2404270,1.4,3365978
Germany,Tomatoes,2377000,1.4,3327800
Montenegro,Maize,2779930,1.1,3057923.0000000005
Hungary,Potatoes,10063640,0.3,3019092
Ireland,Cassava,3116060,0.9,2804454
Latvia,Tomatoes,1978620,1.4,2770068
Bulgaria,Apples,8622230,0.3,2586669
Sweden,Poultry,376930,6.1,2299273
Montenegro,Peas,2729620,0.8,2183696
Hungary,Cassava,2362670,0.9,2126403
Ireland,Wheat,1460690,1.4,2044965.9999999998
Luxembourg,Maize,1844910,1.1,2029401.0000000002
Czechia,Tomatoes,1178480,1.4,1649872
Latvia,Bananas,2056320.0000000002,0.8,1645056.0000000002
Finland,Apples,3897500,0.3,1169250
Greece,Bananas,1414770,0.8,1131816
Finland,Peas,1253000,0.8,1002400
Luxembourg,Poultry,135980,6.1,829478
Greece,Soybean,135820,6,814920
Luxembourg,Potatoes,2638680,0.3,791604
Portugal,Potatoes,2221090,0.3,666327
France,Apples,2217110,0.3,665133
Austria,Peas,797610,0.8,638088
Finland,Tomatoes,418440,1.4,585816
Austria,Bananas,719180,0.8,575344
Sweden,Potatoes,1637750,0.3,491325
Croatia,Poultry,51200,6.1,312320
Belgium,Cassava,316950,0.9,285255
Belarus,Potatoes,819500,0.3,245850
Germany,Bananas,298640,0.8,238912
Austria,Coffee,14380,16.5,237270
Latvia,Cassava,250230,0.9,225207
Austria,Cassava,198910,0.9,179019
Italy,Coffee,9630,16.5,158895
Latvia,Coffee,7000,16.5,115500
Ireland,Potatoes,187750,0.3,56325
Czechia,Apples,160310,0.3,48093
Poland,Potatoes,152500,0.3,45750
Belgium,Potatoes,130460.00000000001,0.3,39138
Croatia,Potatoes,104240,0.3,31272
Romania,Bananas,15680,0.8,12544
Estonia,Maize,0,1.1,0
Finland,Maize,0,1.1,0
Ireland,Maize,0,1.1,0
Latvia,Maize,0,1.1,0
Malta,Maize,0,1.1,0
Albania,Rice,0,4,0
Malta,Cane,0,2.6,0
Ireland,Soybean,0,6,0
Austria,Potatoes,0,0.3,0
Estonia,Berries,0,1.1,0
Ireland,Coffee,0,16.5,0
